"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C10,C13,C21,C22","6","4.7 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C25","2","10 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C6,C8,C9,C12,C14,C71,C72,C74","9","0.1 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","0.1","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C76,C77","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C20","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C70","1","1 uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C73","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C75","1","2.2 uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"IC1","1","STM32F205RET7","","","","STM32F205RET7:QFP50P1200X1200X160-64N","https://www.st.com/resource/en/datasheet/stm32f205rb.pdf"
"J1,J2","2","B2B-PH-K-S","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J3,J4","2","Left Header","","","","6x0.1connpins:SULLINS_PPTC061LFBN-RC","~"
"J5","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"LED1,LED5,LED8,LED11","4","INL-5AMIR15","","","","ir-emitter:LED_INL-5AMIR15_INO","INL-5AMIR15"
"LED2,LED3,LED4,LED6,LED7,LED9,LED10,LED12","8","LTST-C194TBKT","","","","blue-led:LEDC1608X35N","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF"
"Motor1,Motor2","2","~","","","","Pololu_Motor:Pololu_Motor",""
"Q1,Q2,Q3,Q4","4","SFH_313_FA-3_4","","","","ir reciever:XDCR_SFH_313_FA-3_4",""
"Q5,Q6,Q7,Q8","4","2N7002LT1G","","","","new_n_channel_mosfets:SOT95P240X111-3N",""
"R1,R10,R15,R20","4","47k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R11,R16,R21","4","51 ohm","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R9,R14,R19","4","100 ohm","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R12,R17,R22","4","1.8k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R8,R13,R18","4","300 ohm","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","CK_KMS2xxG","","","","Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","https://www.ckswitches.com/media/1482/kms.pdf"
"SW2","1","EG1218","","","","power-switch:SW_1218_EWI","EG1218"
"U2","1","AZ1117IH-3.3TRG1","","","","AZ1117IH-3.3TRG1:SOT230P700X185-4N",""
"U3","1","L293DD","","","","L293DD-motor-controller:SOIC127P1032X265-20N",""
"U5","1","LSM6DSOTR","","","","LSM6DSOTR:LGA-14L_2P5X3X0P86_STM","https://www.st.com/resource/en/datasheet/lsm6dso.pdf"
